Suburb,Relative Error (XGBoost)
PORT NOARLUNGA,0.18607158969836876
MORPHETT VALE,0.185107878778188
SOLOMONTOWN,0.18461724917093914
BURNSIDE,0.1827539987034268
WHYALLA STUART,0.1817946926032701
ANGLE VALE,0.18167444383758072
WHYALLA,0.17818121117727667
EDWARDSTOWN,0.17809900972795578
MURRAY BRIDGE,0.1777865595543476
WALKERVILLE,0.17656665689804973
BRAHMA LODGE,0.1738232890134135
LARGS BAY,0.17337289805340403
ROYSTON PARK,0.172590970993042
ALDINGA BEACH,0.17255590612447258
ELIZABETH DOWNS,0.17142788523705618
SMITHFIELD PLAINS,0.16785102058715032
RIDLEYTON,0.1666527744171174
GEPPS CROSS,0.15849319270850948
SEACLIFF,0.15807294277917772
WEST CROYDON,0.1557229972509361
GAWLER SOUTH,0.1536349796113514
HIGHBURY,0.15271174896553674
SOMERTON PARK,0.15169121197291782
GREENWITH,0.14959406021930258
ARDROSSAN,0.14781415462493896
WOODVILLE WEST,0.14528414082323385
GULFVIEW HEIGHTS,0.14524128172132703
HINDMARSH,0.1438064238037726
MORGAN,0.14267194271087646
FELIXSTOW,0.1409854253133138
KILBURN,0.13903657309251774
MILE END,0.13900042337084573
WOODVILLE PARK,0.13793580778061398
PASADENA,0.1373239590571477
ENFIELD,0.1349724994606686
GAWLER EAST,0.1345201218347107
ELIZABETH GROVE,0.1340068965917013
NEWTON,0.13365976660101264
HUNTFIELD HEIGHTS,0.12930966074727163
CRAIGMORE,0.12755199817189
VIRGINIA,0.1252243157038613
WOODVILLE,0.12384131949588446
ADELAIDE,0.12211840746407314
ROYAL PARK,0.12100048670693049
INGLE FARM,0.12061014675057669
BLAKEVIEW,0.12039877516983948
TONSLEY,0.12023405170945263
CLARE,0.1196869554973784
COFFIN BAY,0.11858785152435303
CROYDON PARK,0.11286517010813028
OAKLANDS PARK,0.11261528026164629
PROSPECT,0.11210620227702418
NAILSWORTH,0.1095702509400706
MITCHELL PARK,0.10829053819928713
BLANCHETOWN,0.10562187433242798
WAIKERIE,0.10085205391887979
KINGSWOOD,0.099790088335673
CLARENCE GARDENS,0.09855048921373155
SEAFORD RISE,0.09819892952345076
GREENACRES,0.09376140682979672
PANORAMA,0.09335941360110328
MARINO,0.089630126953125
DUDLEY PARK,0.08633590406841703
LIGHTSVIEW,0.07927388855905244
BLAIR ATHOL,0.07685328306035376
NOARLUNGA CENTRE,0.07598980866444065
PORT PIRIE SOUTH,0.06318473620292468
PARALOWIE,0.05998759000965554
PORT ELLIOT,0.058950423437451556
ABERFOYLE PARK,0.03552665958156833
KOONIBBA,0.022250652313232422
MENINGIE,0.01568588614463806
GLENDAMBO,0.0010813474655151367
